,Source,Destination,Class
394,26,5033,1
395,26,2591,1
396,26,3458,1
397,26,1829,1
398,26,6980,1
399,26,4141,1
400,26,5138,1
401,26,3691,1
402,26,2106,1
403,26,2343,1
404,26,2904,1
405,26,3342,1
406,26,5802,1
407,26,1691,1
408,26,2451,1
409,26,6050,1
410,26,6387,1
411,26,2352,1
412,26,2466,1
413,26,3757,1
414,26,5393,1
415,26,2845,1
416,26,3739,1
417,26,4932,1
418,26,6368,1
419,26,3042,1
420,26,2805,1
421,26,5485,1
422,26,560,1
423,26,2928,1
424,26,6192,1
425,27,155,1
426,28,6734,1
427,28,1089,1
428,29,2447,1
429,29,372,1
430,29,2894,1
431,30,1059,1
432,30,2284,1
433,30,3275,1
434,30,5276,1
435,30,6412,1
436,30,6892,1
437,30,5882,1
438,30,211,1
439,30,932,1
440,30,1481,1
441,30,1328,1
442,30,2179,1
443,30,370,1
444,30,6821,1
445,30,5556,1
446,30,4152,1
447,30,3052,1
448,30,372,1
449,30,1701,1
450,30,6922,1
451,30,6121,1
452,30,4895,1
453,30,3065,1
454,30,6941,1
455,30,3520,1
456,30,607,1
457,30,5451,1
458,30,5569,1
459,30,458,1
460,30,2345,1
461,30,3290,1
462,30,367,1
463,30,4310,1
464,30,2566,1
465,30,3278,1
466,30,3219,1
467,31,1059,1
468,31,5148,1
469,6508,6835,1
470,6508,2887,1
471,32,2210,1
472,32,5224,1
473,32,1111,1
474,32,6315,1
475,32,2439,1
476,32,2586,1
477,32,2074,1
478,32,6410,1
479,32,5276,1
480,33,1990,1
481,33,2694,1
482,33,6114,1
483,34,2447,1
484,34,1542,1
485,34,5969,1
486,34,3118,1
487,34,2009,1
488,34,2803,1
489,34,2882,1
490,34,4315,1
491,34,5007,1
492,34,4913,1
493,34,4374,1
494,35,6224,1
495,35,2511,1
496,35,2006,1
497,35,4049,1
498,35,2737,1
499,35,5839,1
500,35,1352,1
501,35,6853,1
502,35,7040,1
503,35,3202,1
504,35,3371,1
505,35,6974,1
506,35,4798,1
507,6428,1883,1
508,6428,1103,1
509,6428,3936,1
510,6428,237,1
511,6428,2089,1
512,6428,5842,1
513,6428,5595,1
514,36,6664,1
515,36,2447,1
516,36,166,1
517,36,1142,1
518,36,567,1
519,36,5345,1
520,37,6776,1
521,37,1682,1
522,37,6136,1
523,37,4949,1
524,38,7069,1
525,38,1773,1
526,39,4333,1
527,39,742,1
528,39,6019,1
529,39,4444,1
530,40,3401,1
531,40,4016,1
532,40,2634,1
533,40,4140,1
534,41,3453,1
535,41,3886,1
536,41,6033,1
537,41,6526,1
538,41,5377,1
539,41,1205,1
540,41,5589,1
541,42,2128,1
542,42,6275,1
543,42,4621,1
544,42,1568,1
545,44,4178,1
546,44,401,1
547,44,4024,1
548,44,2586,1
549,44,948,1
550,45,301,1
551,46,4406,1
552,46,2740,1
553,46,581,1
554,46,6776,1
555,46,3401,1
556,46,4213,1
557,46,7069,1
558,46,6320,1
559,46,6136,1
560,47,1158,1
561,49,5304,1
562,49,538,1
563,49,1276,1
564,49,3731,1
565,49,6216,1
566,4696,2195,1
567,4696,3586,1
568,51,395,1
569,51,5151,1
570,52,4780,1
571,52,3422,1
572,52,5931,1
573,52,3642,1
574,52,6438,1
575,52,6563,1
576,53,1947,1
577,53,2107,1
578,53,4958,1
579,53,3192,1
580,53,2381,1
581,53,6489,1
582,53,5576,1
583,53,1960,1
584,53,790,1
585,1150,3401,1
586,1150,6136,1
587,1150,4418,1
588,55,7053,1
589,55,5349,1
590,55,3458,1
591,55,2246,1
592,55,3005,1
593,55,2697,1
594,55,5404,1
595,55,3970,1
596,55,4411,1
597,55,5621,1
598,55,4819,1
599,55,2281,1
600,55,6284,1
601,55,6770,1
602,56,248,1
603,56,5842,1
604,56,4016,1
605,56,1482,1
606,56,198,1
607,56,6918,1
608,56,4702,1
609,56,6368,1
610,56,1924,1
611,56,1869,1
612,56,4076,1
613,56,2777,1
614,58,581,1
615,58,3178,1
616,58,1402,1
617,58,3017,1
618,58,1773,1
619,58,2792,1
620,58,6064,1
621,58,2352,1
622,58,2201,1
623,58,2466,1
624,58,1082,1
625,58,5448,1
626,59,6656,1
627,59,5976,1
628,59,1116,1
629,60,1684,1
630,60,507,1
631,60,6546,1
632,60,6280,1
633,61,2162,1
634,61,1657,1
635,61,6782,1
636,61,1472,1
637,61,2626,1
638,62,4555,1
639,62,6944,1
640,62,4949,1
641,62,425,1
642,63,5995,1
643,63,5965,1
644,64,2732,1
645,64,5842,1
646,64,4949,1
647,64,2201,1
648,65,2049,1
649,65,2023,1
650,65,792,1
651,65,2781,1
652,65,1481,1
653,65,1958,1
654,65,6955,1
655,65,5122,1
656,65,3612,1
657,65,577,1
658,65,5674,1
659,65,3320,1
660,65,3435,1
661,65,2081,1
662,65,4987,1
663,65,4816,1
664,65,6731,1
665,65,3412,1
666,65,3042,1
667,65,3691,1
668,65,6755,1
669,65,1846,1
670,66,1103,1
671,66,3401,1
672,67,6469,1
673,67,5512,1
674,69,1063,1
675,69,3465,1
676,69,3716,1
677,69,946,1
678,69,710,1
679,70,404,1
680,70,5045,1
681,70,5897,1
682,3503,4087,1
683,3504,6820,1
684,3504,1414,1
685,73,2310,1
686,73,2284,1
687,73,6565,1
688,73,4556,1
689,73,4940,1
690,73,1429,1
691,73,4244,1
692,73,2808,1
693,73,3104,1
694,73,859,1
695,73,4977,1
696,73,4580,1
697,73,4789,1
698,73,3231,1
699,73,3432,1
700,73,2360,1
701,73,2535,1
702,73,7081,1
703,73,4872,1
704,73,5890,1
705,73,4545,1
706,73,5351,1
707,73,4288,1
708,73,6305,1
709,73,3410,1
710,73,631,1
711,73,1009,1
712,74,4798,1
713,74,4796,1
714,74,1104,1
715,74,4916,1
716,75,2026,1
717,75,2732,1
718,75,6352,1
719,75,6059,1
720,75,1846,1
721,75,2440,1
722,75,5186,1
723,75,6178,1
724,75,5367,1
725,75,1407,1
726,75,2117,1
727,75,3852,1
728,75,3691,1
729,75,6137,1
730,75,6755,1
731,75,4863,1
732,75,2928,1
733,75,1520,1
734,76,596,1
735,76,2625,1
736,77,2732,1
737,77,3048,1
738,77,3272,1
739,77,3209,1
740,77,5566,1
741,78,3497,1
742,78,1329,1
743,78,6403,1
744,78,4181,1
745,79,3831,1
746,80,6367,1
747,80,6550,1
748,80,1674,1
749,80,4741,1
750,80,6597,1
751,80,5194,1
752,80,5886,1
753,80,2965,1
754,80,6025,1
755,80,1037,1
756,80,5765,1
757,80,2184,1
758,80,5047,1
759,80,2890,1
760,80,6548,1
761,80,1544,1
762,80,2339,1
763,81,2983,1
764,81,4198,1
765,81,3375,1
766,81,4121,1
767,81,1850,1
768,81,4700,1
769,81,1126,1
770,81,3864,1
771,81,1925,1
772,81,2845,1
773,81,1283,1
774,81,354,1
775,81,3270,1
776,81,1859,1
777,81,5624,1
778,81,4131,1
779,81,4190,1
780,82,5354,1
781,82,1484,1
782,83,4406,1
783,83,2834,1
784,83,5810,1
785,83,885,1
786,83,4071,1
787,83,1679,1
788,84,2481,1
789,84,4140,1
790,85,4963,1
791,85,881,1
792,85,5446,1
793,85,6242,1
794,85,417,1
795,85,314,1
796,85,3728,1
797,85,3867,1
798,85,399,1
799,85,5456,1
800,85,3269,1
801,85,4143,1
802,86,1046,1
803,86,6147,1
804,86,2345,1
805,86,2068,1
806,86,1177,1
807,86,6108,1
808,86,2250,1
809,86,2817,1
810,87,1773,1
811,88,4347,1
812,88,1924,1
813,88,5842,1
814,88,5269,1
815,88,5428,1
816,88,3925,1
817,89,4301,1
818,89,4213,1
819,89,5842,1
820,89,3936,1
821,89,640,1
822,90,4016,1
823,90,681,1
824,91,4621,1
825,91,5007,1
826,91,5269,1
827,91,710,1
828,91,573,1
829,91,824,1
830,91,3781,1
831,91,4700,1
832,91,737,1
833,91,4374,1
834,92,830,1
835,93,4383,1
836,93,4607,1
837,93,2613,1
838,93,1508,1
839,93,5051,1
840,93,2724,1
841,93,1512,1
842,93,1291,1
843,93,1936,1
844,93,6514,1
845,93,5974,1
846,93,6032,1
847,93,1408,1
848,93,3855,1
849,93,3285,1
850,93,2381,1
851,93,2732,1
852,93,3807,1
853,93,4742,1
854,93,3401,1
855,93,5738,1
856,93,2967,1
857,93,4840,1
858,93,6668,1
859,93,3405,1
860,93,3651,1
861,93,1947,1
862,93,975,1
863,93,6387,1
864,93,977,1
865,93,2439,1
866,93,4310,1
867,93,4414,1
868,93,4524,1
869,93,579,1
870,93,6915,1
871,93,2049,1
872,93,981,1
873,93,4639,1
874,93,1426,1
875,93,438,1
876,93,466,1
877,93,3083,1
878,93,5524,1
879,93,4730,1
880,93,1537,1
881,93,6931,1
882,93,246,1
883,93,7007,1
884,93,4202,1
885,93,3740,1
886,93,2524,1
887,93,477,1
888,93,5768,1
889,93,2722,1
890,93,144,1
891,93,776,1
892,93,999,1
893,93,480,1
894,93,5771,1
895,93,2768,1
896,93,1773,1
897,93,6685,1
898,93,3214,1
899,93,239,1
900,93,5542,1
901,93,2235,1
902,93,4442,1
903,93,3621,1
904,93,3440,1
905,93,7046,1
906,93,3998,1
907,93,1656,1
908,93,2026,1
909,93,596,1
910,93,1720,1
911,93,387,1
912,93,6477,1
913,93,2882,1
914,93,1165,1
915,93,529,1
916,93,4223,1
917,93,6481,1
918,93,794,1
919,93,1664,1
920,93,4988,1
921,93,4227,1
922,93,6359,1
923,93,6027,1
924,93,5556,1
925,93,3027,1
926,93,2088,1
927,93,1129,1
928,93,4014,1
929,93,2219,1
930,93,5224,1
931,93,6437,1
932,93,1461,1
933,93,5470,1
934,93,4686,1
935,93,4784,1
936,93,4786,1
937,93,1055,1
938,93,6320,1
939,93,2898,1
940,93,5138,1
941,93,4949,1
942,93,1143,1
943,93,4233,1
944,93,6662,1
945,93,5686,1
946,93,1472,1
947,93,3084,1
948,93,5142,1
949,93,4698,1
950,93,4016,1
951,93,4582,1
952,93,2195,1
953,93,2004,1
954,93,3581,1
955,93,3925,1
956,93,4702,1
957,93,3883,1
958,93,2117,1
959,93,94,1
960,93,1980,1
961,93,2460,1
962,93,5775,1
963,93,6077,1
964,93,6547,1
965,93,3722,1
966,93,2464,1
967,93,5781,1
968,93,6166,1
969,93,6952,1
970,93,4709,1
971,93,6393,1
972,93,4595,1
973,93,4935,1
974,93,3143,1
975,93,3710,1
976,93,2074,1
977,93,4080,1
978,93,6400,1
979,93,1536,1
980,93,5685,1
981,93,3485,1
982,93,5710,1
983,93,3700,1
984,93,4161,1
985,93,3915,1
986,93,2469,1
987,93,3269,1
988,93,99,1
989,94,4004,1
990,94,5842,1
991,94,1229,1
992,94,792,1
993,94,5945,1
994,94,5833,1
995,94,3760,1
996,94,4124,1
997,94,6077,1
998,94,5949,1
999,94,3285,1
1000,94,1804,1
1001,94,2447,1
1002,94,3902,1
1003,94,5670,1
1004,94,4374,1
1005,94,3458,1
1006,94,1773,1
1007,94,917,1
1008,94,4681,1
1009,94,4191,1
1010,94,2810,1
1011,94,2364,1
1012,95,763,1
1013,95,5738,1
1014,95,1382,1
1015,95,2439,1
1016,95,4949,1
1017,96,899,1
1018,96,336,1
1019,96,2865,1
1020,96,5024,1
1021,96,5255,1
1022,96,4087,1
1023,96,5007,1
1024,97,4112,1
1025,97,451,1
1026,97,4382,1
1027,97,4820,1
1028,98,1086,1
1029,98,3097,1
1030,99,3902,1
1031,99,3373,1
1032,99,3285,1
1033,99,6419,1
1034,99,1229,1
1035,99,2321,1
1036,99,6077,1
1037,99,1773,1
1038,99,5945,1
1039,100,581,1
1040,100,1598,1
1041,100,6867,1
1042,100,198,1
1043,100,6962,1
1044,100,5312,1
1045,100,3744,1
1046,100,2784,1
1047,100,1924,1
1048,100,5872,1
1049,100,6071,1
1050,100,5725,1
1051,100,4365,1
1052,100,1844,1
1053,100,6556,1
1054,101,2849,1
1055,101,5398,1
1056,102,7068,1
1057,102,3681,1
1058,102,4931,1
1059,17,2304,1
1060,17,3456,1
1061,17,237,1
1062,17,2340,1
1063,17,5476,1
1064,17,2114,1
1065,105,3863,1
1066,105,781,1
1067,105,3613,1
1068,105,5945,1
1069,105,1773,1
1070,106,1274,1
1071,106,1169,1
1072,106,1031,1
1073,106,2476,1
1074,106,5047,1
1075,106,4006,1
1076,106,5301,1
1077,106,4816,1
1078,107,341,1
1079,107,4210,1
1080,107,6961,1
1081,107,1515,1
1082,108,4639,1
1083,109,1492,1
1084,110,6855,1
1085,111,4497,1
1086,111,6254,1
1087,112,1472,1
1088,112,2392,1
1089,112,4053,1
1090,112,3756,1
1091,112,3925,1
1092,112,2696,1
1093,112,4305,1
1094,112,150,1
1095,112,5354,1
1096,112,5214,1
1097,112,6103,1
1098,112,6853,1
1099,112,6223,1
1100,113,4032,1
1101,113,261,1
1102,113,4950,1
1103,113,5589,1
1104,113,2054,1
1105,113,1781,1
1106,113,338,1
1107,113,527,1
1108,113,4479,1
1109,113,2731,1
1110,113,2553,1
1111,113,4585,1
1112,113,166,1
1113,113,449,1
1114,113,4290,1
1115,113,4744,1
1116,113,6991,1
1117,113,4717,1
1118,113,7055,1
1119,113,2254,1
1120,113,4874,1
1121,113,2503,1
1122,113,410,1
1123,113,6045,1
1124,113,4695,1
1125,114,3126,1
1126,114,751,1
1127,114,1129,1
1128,114,6136,1
1129,114,6758,1
1130,115,3784,1
1131,116,5030,1
1132,116,3413,1
1133,117,7105,1
1134,118,4392,1
1135,119,1059,1
1136,119,3886,1
1137,119,2781,1
1138,119,1773,1
1139,119,5502,1
1140,120,5404,1
1141,120,792,1
1142,120,3388,1
1143,120,4009,1
1144,120,1094,1
1145,120,6258,1
1146,120,3508,1
1147,120,5446,1
1148,120,2403,1
1149,120,3614,1
1150,120,4299,1
1151,120,6482,1
1152,120,1164,1
1153,120,2972,1
1154,120,5955,1
1155,120,2529,1
1156,120,1002,1
1157,120,3762,1
1158,120,1278,1
1159,120,5569,1
1160,120,6676,1
1161,120,560,1
1162,121,6741,1
1163,121,2273,1
1164,121,6140,1
1165,121,5033,1
1166,121,4313,1
1167,121,1608,1
1168,121,4871,1
1169,121,5241,1
1170,121,3927,1
1171,121,6886,1
1172,121,5509,1
1173,121,215,1
1174,121,875,1
1175,121,6618,1
1176,121,3168,1
1177,121,6488,1
1178,121,6464,1
1179,121,431,1
1180,121,3721,1
1181,122,6047,1
1182,122,3706,1
1183,122,6852,1
1184,122,1055,1
1185,122,4625,1
1186,122,1100,1
1187,123,4775,1
1188,123,1630,1
1189,124,6077,1
1190,124,1229,1
1191,124,5852,1
1192,124,1376,1
1193,124,6213,1
1194,124,532,1
1195,124,1773,1
1196,124,1046,1
1197,124,494,1
1198,124,1813,1
1199,124,4691,1
1200,124,5945,1
1201,124,4651,1
1202,124,4191,1
1203,124,411,1
1204,124,4076,1
1205,125,3862,1
1206,125,5393,1
1207,125,5642,1
1208,126,5183,1
1209,126,3564,1
1210,126,6649,1
1211,126,6716,1
1212,127,2447,1
1213,127,4937,1
1214,127,581,1
1215,127,3703,1
1216,127,2944,1
1217,127,3835,1
1218,127,2736,1
1219,127,6606,1
1220,127,2732,1
1221,127,5346,1
1222,127,2352,1
1223,127,1312,1
1224,127,4979,1
1225,127,4933,1
1226,127,4240,1
1227,127,7105,1
1228,127,1059,1
1229,128,4406,1
1230,128,2740,1
1231,128,1010,1
1232,128,1354,1
1233,128,5379,1
1234,128,4799,1
1235,129,1473,1
1236,129,793,1
1237,130,1529,1
1238,130,1141,1
1239,130,3237,1
1240,130,2794,1
1241,130,4080,1
1242,130,759,1
1243,130,3706,1
1244,130,6468,1
1245,130,342,1
1246,131,4100,1
1247,131,4352,1
1248,131,581,1
1249,131,2586,1
1250,4710,2732,1
1251,4710,2779,1
1252,4710,2997,1
1253,4710,4639,1
1254,4710,3401,1
1255,4710,6429,1
1256,4710,466,1
1257,4710,493,1
1258,4710,4462,1
1259,4710,2832,1
1260,4710,5453,1
1261,4710,1924,1
1262,4710,2586,1
1263,4710,5269,1
1264,4710,5428,1
1265,4710,6942,1
1266,4710,4591,1
1267,4710,2444,1
1268,4710,4949,1
1269,4710,2330,1
1270,133,6753,1
1271,133,3275,1
1272,133,3577,1
1273,133,6405,1
1274,133,4445,1
1275,133,5576,1
1276,133,859,1
1277,133,2680,1
1278,133,737,1
1279,133,5969,1
1280,133,1208,1
1281,133,988,1
1282,133,5648,1
1283,133,6982,1
1284,133,6074,1
1285,133,6214,1
1286,133,1644,1
1287,133,4337,1
1288,133,4092,1
1289,133,1965,1
1290,133,448,1
1291,133,3231,1
1292,133,4833,1
1293,133,4722,1
1294,133,5590,1
1295,133,2158,1
1296,133,2251,1
1297,133,142,1
1298,133,6730,1
1299,133,1682,1
1300,133,2345,1
1301,133,5577,1
1302,133,430,1
1303,133,6968,1
1304,133,5085,1
1305,133,4632,1
1306,133,1318,1
1307,134,6810,1
1308,134,5880,1
1309,134,2928,1
1310,134,1407,1
1311,134,2960,1
1312,134,3177,1
1313,134,2061,1
1314,134,1591,1
1315,134,2106,1
1316,134,351,1
1317,135,4634,1
1318,135,4641,1
1319,135,3867,1
1320,135,4910,1
1321,135,6059,1
1322,135,399,1
1323,135,1667,1
1324,6027,3902,1
1325,6027,4788,1
1326,6027,1773,1
1327,136,4886,1
1328,136,4104,1
1329,137,4406,1
1330,137,1294,1
1331,137,195,1
1332,137,1083,1
1333,137,1503,1
1334,137,3841,1
1335,137,6136,1
1336,138,5354,1
1337,138,5248,1
1338,138,1883,1
1339,138,4314,1
1340,138,6844,1
1341,138,1442,1
1342,138,3577,1
1343,139,3453,1
1344,139,987,1
1345,140,186,1
1346,140,5842,1
1347,140,3770,1
1348,3498,6090,1
1349,3498,3692,1
1350,3498,4444,1
1351,3498,4312,1
1352,3498,6947,1
1353,3498,5243,1
1354,3498,3401,1
1355,3498,6706,1
1356,3498,3757,1
1357,3498,3840,1
1358,3498,4557,1
1359,3498,321,1
1360,3498,2179,1
1361,3498,2845,1
1362,3498,1448,1
1363,3498,1950,1
1364,3498,4213,1
1365,3498,3518,1
1366,3498,2466,1
1367,3498,645,1
1368,141,2007,1
1369,141,6731,1
1370,141,5768,1
1371,141,2845,1
1372,141,792,1
1373,141,6716,1
1374,141,2381,1
1375,142,7006,1
1376,142,3892,1
1377,142,6026,1
1378,142,4272,1
1379,142,2632,1
1380,142,3960,1
1381,142,1723,1
1382,142,6750,1
1383,142,2218,1
1384,142,5065,1
1385,142,5449,1
1386,142,5205,1
1387,142,1103,1
1388,142,3401,1
1389,142,2260,1
1390,142,2588,1
1391,142,6395,1
1392,142,4140,1
1393,142,5338,1
1394,142,4141,1
1395,142,1334,1
1396,142,6770,1
1397,143,4196,1
1398,143,1951,1
1399,143,2248,1
1400,143,1869,1
1401,143,1789,1
1402,143,5842,1
1403,143,6871,1
1404,143,490,1
1405,144,3063,1
1406,144,3381,1
1407,144,5581,1
1408,144,2003,1
1409,144,6021,1
1410,144,4750,1
1411,144,2847,1
1412,144,4397,1
1413,144,6897,1
1414,145,2506,1
1415,145,3268,1
1416,145,3285,1
1417,145,3706,1
1418,145,1773,1
1419,145,2093,1
1420,5911,3577,1
1421,5911,5857,1
1422,5911,749,1
1423,5911,3725,1
1424,5911,419,1
1425,5911,2832,1
1426,5911,6115,1
1427,5911,2087,1
1428,5911,4348,1
1429,5911,1486,1
1430,5911,7045,1
1431,5911,4266,1
1432,5911,3342,1
1433,5911,4949,1
1434,147,1400,1
1435,147,2447,1
1436,147,6569,1
1437,147,1553,1
1438,147,792,1
1439,147,4164,1
1440,147,2148,1
1441,147,3200,1
1442,147,4219,1
1443,147,1699,1
1444,147,4561,1
1445,147,1472,1
1446,147,6360,1
1447,147,2944,1
1448,147,2426,1
1449,147,4682,1
1450,147,191,1
1451,147,2379,1
1452,147,6556,1
1453,147,4949,1
1454,147,7023,1
1455,147,2732,1
1456,147,3209,1
1457,147,3932,1
1458,147,779,1
1459,147,3349,1
1460,147,3212,1
1461,147,4346,1
1462,147,6205,1
1463,147,486,1
1464,147,314,1
1465,147,5870,1
1466,147,48,1
1467,147,5315,1
1468,147,4087,1
1469,147,2439,1
1470,147,946,1
1471,147,5850,1
1472,147,3240,1
1473,147,6001,1
1474,147,5422,1
1475,147,6643,1
1476,147,5409,1
1477,148,4554,1
1478,149,5247,1
1479,149,166,1
1480,149,3401,1
1481,149,4597,1
1482,149,6225,1
1483,149,4404,1
1484,149,4033,1
1485,149,4409,1
1486,150,4793,1
1487,150,6651,1
1488,150,1401,1
1489,150,4569,1
1490,150,3850,1
1491,150,4555,1
1492,150,1830,1
1493,150,2344,1
1494,150,495,1
1495,150,1116,1
1496,150,6948,1
1497,150,1726,1
1498,150,748,1
1499,150,4814,1
1500,150,2721,1
1501,150,3182,1
1502,150,2265,1
1503,150,6549,1
1504,150,5338,1
1505,150,2564,1
1506,150,5571,1
